color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Sneakyb4stard;Steam;76561198000133635;23;Octane;335;399;1;1;2;3;5;1;0;33.33;346;48.13;1947;1282;665;15;59;677;448;229;5;20;21.11;26.39;102;226;51;1535;480345;147.56;44.76;138.96;42.15;43.17;13.09;175.87;53.34;134.91;40.92;18.92;5.74;6.01;0.14;42;132.7;100.7;3385;3380;3374;235.82;71.53;93.88;28.47;209.17;63.44;120.52;36.56;147.61;44.77;115.24;34.95;66.84;20.27;0;2
blue;;Kuzon;Steam;76561198047156244;23;Octane;335;384;1;1;1;1;5;1;1;100;421;45.63;2224;1554;670;17;60;279;100;179;1;15;70.16;18.02;93;114;0;1457;465948;162.54;48.43;145.56;43.37;27.51;8.2;180.88;53.89;141.53;42.17;13.21;3.94;6.03;0.11;56;125.1;97.5;2732;2639;2841;238.09;70.94;97.53;29.06;221.75;66.07;113.86;33.93;154.45;46.02;107.13;31.92;74.04;22.06;1;0
blue;;Chaos;Steam;76561198013523419;23;Octane;335;164;0;0;1;2;5;1;0;0;468;49.08;2568;2023;545;25;50;830;478;352;6;31;49.58;43.35;361;492;128;1592;507002;129.81;39.03;143.13;43.03;59.65;17.93;190.73;57.35;123.88;37.25;17.98;5.41;7.97;0.13;63;79.1;129.3;2523;2269;2831;208.01;62.54;124.58;37.46;183.11;55.06;149.48;44.94;125.54;37.75;119.18;35.83;87.87;26.42;2;1
orange;;quint .-;Steam;76561198334821706;23;Octane;335;270;1;0;0;3;6;2;0;33.33;395;60.22;2115;1683;432;23;40;486;358;128;4;12;19.35;51.51;253;650;46;1572;498590;138.51;41.63;149.73;45;44.49;13.37;187.66;56.4;121.88;36.63;23.19;6.97;8.8;0.1;87;79.7;138.9;2809;2567;2996;220.16;66.17;112.57;33.83;215.06;64.63;117.67;35.37;135.36;40.68;130.38;39.19;66.98;20.13;1;1
orange;;Brindle;Steam;76561198067204667;23;Octane;335;182;0;1;0;0;6;2;0;0;335;44.57;1878;1281;597;14;47;639;359;280;4;18;49.28;65.02;234;141;49;1575;499816;148.57;44.66;134.73;40.5;49.35;14.84;180.4;54.23;124.89;37.54;27.36;8.22;5.72;0.13;44;137.4;87.5;3147;3299;3032;236.7;71.16;95.94;28.84;222.97;67.03;109.67;32.97;176.13;52.95;95.06;28.58;61.45;18.47;1;1
orange;;orientir300;Steam;76561198292781141;23;Octane;335;150;0;0;1;2;6;2;2;0;386;39.75;2028;1217;811;13;67;321;100;221;1;15;63.56;17.71;328;97;0;1613;511162;133.71;40.2;141.63;42.58;57.3;17.23;188.88;56.78;132.9;39.95;10.87;3.27;6.58;0.12;57;117.2;101.9;2976;3157;2837;244.76;73.58;87.89;26.42;229.43;68.97;103.22;31.03;185.76;55.84;87.65;26.35;59.24;17.81;1;1
