color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Sneakyb4stard;Steam;76561198000133635;23;Octane;343;420;1;0;2;2;9;3;2;50;417;48.62;2291;1680;611;19;58;664;457;207;5;18;28.99;35.54;296;248;42;1619;518767;130.17;38.23;144.06;42.31;66.24;19.46;169.65;49.83;149.39;43.88;21.43;6.29;3.26;0.12;28;110;122.1;2939;2688;3172;230.43;67.68;110.04;32.32;215.54;63.31;124.93;36.69;155.02;45.53;110.21;32.37;75.25;22.1;0;1
blue;;*' TheJellyfish;Steam;76561198011304507;23;Octane;343;226;0;1;1;1;9;3;0;0;338;52.33;1915;1312;603;14;52;403;200;203;2;17;48.65;23.77;212;101;1;1506;485066;159.51;46.85;151.86;44.6;29.1;8.55;210.65;61.87;120.34;35.34;9.49;2.79;7.56;0.12;62;99.8;100.4;2603;2629;2553;231.18;67.9;109.29;32.1;226.25;66.45;114.22;33.55;157.56;46.28;113.72;33.4;69.2;20.32;0;1
blue;;Kuzon;Steam;76561198047156244;23;Octane;343;166;0;0;1;2;9;3;1;0;458;55.78;2549;1914;635;26;59;715;551;164;6;15;29.64;17.95;210;71;14;1524;486646;153.08;45.35;144.55;42.82;39.91;11.82;199.32;59.05;126.39;37.45;11.82;3.5;7.39;0.12;61;132.4;109.7;3115;3054;3194;238.76;70.74;98.77;29.26;214.49;63.55;123.05;36.45;165.05;48.9;94.76;28.07;77.72;23.03;2;2
orange;;FeaR;Steam;76561198284195689;23;Octane;343;507;2;0;1;6;5;1;0;33.33;331;46.43;1782;1096;686;14;59;432;189;243;3;21;23.13;25.87;170;313;118;1526;491315;161.38;47.4;130.7;38.39;48.41;14.22;170.11;49.96;154.59;45.4;15.79;4.64;8.52;0.11;77;101.8;117.5;2723;2483;2991;247.18;72.59;93.32;27.41;200.28;58.82;140.21;41.18;142.57;41.87;115.15;33.82;82.77;24.31;1;1
orange;;Dacii;Steam;76561198117620738;4284;Fennec;343;378;1;1;1;3;5;1;1;33.33;375;50.5;2103;1693;410;22;36;518;446;72;7;6;68.95;39.95;336;424;165;1558;498142;153.82;45.55;132.59;39.26;51.31;15.19;198.7;58.83;129.24;38.27;9.79;2.9;6.99;0.11;66;94.8;116.8;2964;2747;3197;250.06;74.04;87.66;25.96;221.41;65.56;116.31;34.44;155.59;46.07;124.37;36.83;57.76;17.1;3;1
orange;;Dok;Steam;76561198356629109;23;Octane;343;126;0;0;1;0;5;1;0;0;428;45.87;2308;1719;589;20;51;88;0;88;0;8;36.23;34.33;493;293;0;1570;510192;143.17;41.68;151.05;43.97;49.31;14.35;217.35;63.27;109.86;31.98;16.32;4.75;6.28;0.14;44;141.7;98.3;3382;3321;3449;260.57;75.85;82.95;24.15;251.27;73.14;92.26;26.86;181.08;52.71;119.51;34.79;42.94;12.5;0;0
