color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Gapehorn;Steam;76561198062355986;23;Octane;287;338;1;0;2;2;8;4;3;50;423;51.62;1996;1460;536;16;45;186;100;86;1;8;29.88;29.63;480;155;3;1530;400678;137.8;48.51;109.06;38.39;37.21;13.1;164.73;57.99;96.04;33.81;23.29;8.2;4.23;0.11;37;113.9;55.9;2599;2228;2954;217.38;76.52;66.69;23.48;210.29;74.03;73.77;25.97;165.97;58.43;80.37;28.29;37.72;13.28;1;1
blue;;:);Steam;76561198000683749;403;Dominus;287;178;0;0;1;3;8;4;1;0;500;53.42;2176;1674;502;22;47;772;628;144;7;14;36.85;23.4;262;501;74;1595;413274;118.24;41.81;116.47;41.19;48.06;17;164.04;58.01;100.54;35.56;18.19;6.43;5.27;0.11;48;69.3;124.3;3093;2859;3294;166.99;59.05;115.79;40.95;180.32;63.77;102.45;36.23;131.77;46.6;87.81;31.05;63.2;22.35;1;1
blue;;Guts.;Steam;76561198982551028;23;Octane;287;164;0;1;0;2;8;4;0;0;298;48.28;1353;965;388;11;36;594;489;105;5;10;34.86;26.39;111;162;16;1563;408717;130.8;46.75;108.96;38.94;40.02;14.3;141;50.4;126.8;45.32;11.98;4.28;5.92;0.1;57;97.3;92;2811;2547;3063;192.11;68.66;87.67;31.34;189.41;67.7;90.37;32.3;149.2;53.33;72.34;25.86;58.24;20.82;1;1
orange;;Kuzon;Steam;76561198047156244;23;Octane;287;446;2;1;1;5;7;1;0;40;418;47.11;1886;1307;579;15;53;186;61;125;1;11;38.87;16.36;221;194;38;1531;401186;133.04;46.84;114.11;40.18;36.88;12.98;164.84;58.03;108.91;38.34;10.29;3.62;4.38;0.11;39;99.8;82.1;2970;2732;3237;219.91;77.42;64.12;22.58;188.35;66.31;95.69;33.69;120.14;42.3;109.44;38.53;54.46;19.17;0;1
orange;;*' TheJellyfish;Steam;76561198011304507;23;Octane;287;328;1;1;1;2;7;1;1;50;407;41.21;1799;1263;536;13;49;357;200;157;2;13;36.11;23.85;254;47;0;1527;404356;128.93;44.95;129.83;45.26;28.1;9.8;166.29;57.97;105.11;36.64;15.47;5.39;6.11;0.13;48;71.2;98.1;2680;2768;2618;195.51;68.15;91.36;31.85;169.58;59.11;117.29;40.89;118.26;41.22;93.48;32.59;75.13;26.19;2;0
orange;;Sneakyb4stard;Steam;76561198000133635;23;Octane;287;323;1;0;1;1;7;1;0;100;371;47.67;1819;1211;608;14;47;469;310;159;4;14;23.47;26.15;182;212;100;1550;401470;124.95;44.46;113.01;40.21;43.06;15.32;159.24;56.67;104.92;37.34;16.85;6;2.81;0.16;18;108.8;90.1;3121;3021;3170;215.27;76.6;65.75;23.4;173.61;61.78;107.4;38.22;130.33;46.38;83.47;29.7;67.21;23.92;1;2
