color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Dysslekktikern;Steam;76561198023040560;23;Octane;337;389;0;1;3;1;8;2;0;0;370;54.12;1999;1447;552;20;48;397;141;256;2;22;45.28;28.18;355;460;58;1649;530065;130.34;38.67;139.17;41.29;67.51;20.03;178.54;52.97;141.72;42.05;16.77;4.98;5.82;0.1;61;99.9;114.6;2780;2561;3015;240.38;71.33;96.64;28.67;195.21;57.92;141.81;42.08;142.95;42.41;119.68;35.51;74.4;22.08;0;0
blue;;PontaP;Steam;76561198844404970;23;Octane;337;262;1;0;1;3;8;2;0;33.33;382;49.03;2094;1584;510;18;47;494;370;124;4;12;33.26;26.62;604;229;43;1682;535365;112.59;33.72;145.98;43.72;75.34;22.56;189.77;56.83;135.57;40.6;8.58;2.57;7.18;0.11;63;116.4;102.3;3131;3115;3168;234.98;70.37;98.94;29.63;219.67;65.79;114.24;34.21;147.73;44.24;126.8;37.97;59.39;17.79;2;1
blue;;tulip;Steam;76561198394257813;23;Octane;337;148;0;0;0;1;8;2;2;0;435;52.87;2497;1864;633;21;58;431;262;169;3;15;47.84;27.89;281;263;49;1630;524327;119.1;35.34;167;49.55;50.93;15.11;189.2;56.14;134.03;39.77;13.79;4.09;8.73;0.13;67;115.3;112.3;2920;2846;2993;218.28;64.77;118.74;35.23;207.43;61.55;129.59;38.45;143.86;42.69;120.19;35.66;72.97;21.65;2;0
orange;;*' TheJellyfish;Steam;76561198011304507;23;Octane;337;554;2;0;2;4;5;1;0;50;336;50.12;1849;1285;564;16;50;433;298;135;4;12;54.22;34.16;130;351;110;1538;491270;147.29;44.1;147.92;44.29;38.79;11.61;166.01;49.71;139.31;41.71;28.67;8.58;5.49;0.12;47;83.1;121.4;2754;2600;2939;238.76;71.49;95.23;28.51;212.24;63.54;121.76;36.46;150.55;45.07;112.98;33.83;70.47;21.1;0;1
orange;;Kuzon;Steam;76561198047156244;23;Octane;337;185;0;0;2;2;5;1;0;0;487;60.8;2710;1900;810;23;70;135;58;77;1;7;28.82;23.13;334;193;3;1627;514138;124.61;37.66;151.29;45.72;55.02;16.63;213.6;64.55;109.92;33.22;7.4;2.24;5.97;0.11;53;141;93.6;3451;3307;3607;248.71;75.16;82.2;24.84;235.79;71.25;95.13;28.75;183.77;55.53;94.37;28.52;52.77;15.95;0;2
orange;;Sneakyb4stard;Steam;76561198000133635;23;Octane;337;182;0;0;0;2;5;1;1;0;355;48.29;2005;1364;641;17;57;367;212;155;3;13;48.86;48.39;241;359;88;1562;498497;130.64;39.16;156.68;46.97;46.29;13.88;179.44;53.79;142.93;42.84;11.24;3.37;5.09;0.15;34;117.5;114.7;3012;2996;3038;238.32;71.44;95.28;28.56;218.7;65.56;114.91;34.44;157.65;47.26;107.03;32.08;68.93;20.66;1;1
