color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;RonnDon;Steam;76561198248992888;23;Octane;352;333;1;0;2;3;8;3;1;33.33;270;56.79;1803;1198;605;14;56;548;327;221;4;19;21.15;39.24;148;249;81;1525;497136;161.65;46.3;149.03;42.68;38.48;11.02;183.27;52.49;157.12;45;8.79;2.52;4.32;0.08;54;109.9;129.9;3123;3203;3000;238.19;68.22;110.98;31.78;230.81;66.1;118.37;33.9;176.95;50.68;99.89;28.61;72.34;20.72;0;1
blue;;ThedridriX;Steam;76561198119156058;23;Octane;352;246;0;1;1;1;8;3;0;0;353;47.79;2074;1462;612;18;55;437;264;173;3;16;50.52;29.87;164;253;35;1452;471994;185.68;53.23;116.6;33.43;46.54;13.34;192.83;55.28;142.96;40.98;13.03;3.74;6.62;0.11;61;150.5;112;2883;2860;2938;269.54;77.27;79.29;22.73;247.33;70.9;101.49;29.1;189.6;54.35;97.66;28;61.57;17.65;0;1
blue;;Quazys-;PS4;Quazys-;23;Octane;352;184;1;0;0;2;8;3;2;50;442;50.96;2598;1949;649;23;53;324;195;129;2;11;30.07;31.29;438;378;4;1667;545099;135.34;38.75;133.44;38.21;80.49;23.05;191.34;54.78;134.38;38.47;23.55;6.74;6.3;0.09;68;96.2;98.8;2830;2787;2837;249.41;71.41;99.85;28.59;239.2;68.49;110.06;31.51;183.5;52.54;98.41;28.18;67.36;19.29;0;1
orange;;Kuzon;Steam;76561198047156244;23;Octane;352;400;2;1;0;5;6;2;0;40;463;48.01;2603;1847;756;21;69;294;100;194;1;17;45.99;15.53;231;43;0;1587;522788;137.62;39.05;167.93;47.65;46.87;13.3;217.95;61.84;125.22;35.53;9.25;2.62;6.48;0.12;56;96.7;110.6;2895;2718;3026;250.34;71.03;102.08;28.97;223.64;63.46;128.79;36.54;151.76;43.06;126.48;35.89;74.18;21.05;1;0
orange;;koenbrenny;PS4;koenbrenny;23;Octane;352;320;1;0;1;1;6;2;2;100;323;59.05;2034;1596;438;24;41;659;505;154;6;14;13.28;73.37;455;830;97;1604;529475;151.95;43.12;139.67;39.63;60.8;17.25;207.21;58.8;126.81;35.98;18.4;5.22;5.79;0.13;46;103.8;126.5;2486;2295;2669;250.25;71.01;102.17;28.99;203.12;57.64;149.3;42.36;153.69;43.61;101.07;28.68;97.66;27.71;2;0
orange;;Sneakyb4stard;Steam;76561198000133635;23;Octane;352;240;0;1;0;2;6;2;0;0;351;46.5;2136;1353;783;16;68;262;73;189;1;17;46.67;29.38;207;247;26;1594;525220;143.39;40.7;151.03;42.87;57.89;16.43;192.67;54.69;150.77;42.79;8.87;2.52;5.79;0.13;44;137.9;100;3248;3269;3193;245.79;69.76;106.53;30.24;217.25;61.66;135.07;38.34;143.46;40.72;140.35;39.84;68.5;19.44;0;0
