color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;pA ReKo sAM;Steam;76561198334092442;23;Octane;491;484;1;1;2;2;11;1;1;50;365;46.31;2837;2203;634;24;48;593;387;206;4;18;59.24;82.41;377;209;12;1415;667077;269.26;55.16;170.78;34.99;48.06;9.85;250.36;51.29;205.45;42.09;32.28;6.61;3.95;0.15;27;172.5;145;2793;2495;3044;341.97;70.06;146.12;29.94;329.87;67.58;158.23;32.42;263.72;54.03;116.65;23.9;107.73;22.07;1;1
blue;;whack;Steam;76561198406943846;403;Dominus;491;457;0;0;4;4;11;1;0;0;330;46.47;2726;1839;887;22;74;846;594;252;6;21;62.16;50.72;114;360;5;1460;690982;235.92;48.28;209.53;42.88;43.16;8.83;236.11;48.32;228.71;46.81;23.78;4.87;13.16;0.14;97;158.1;185.6;2945;2680;3103;346.93;71;141.67;29;308.96;63.23;179.64;36.77;231.25;47.33;165.1;33.79;92.25;18.88;1;0
blue;;TONY;Steam;76561197972126620;23;Octane;491;323;1;0;2;1;11;1;0;100;341;44.04;2613;1543;1070;19;85;496;267;229;4;20;90.81;44.54;349;374;132;1516;715885;227.57;46.62;206.35;42.27;54.22;11.11;309.84;63.47;159.27;32.63;19.02;3.9;17.42;0.1;177;159.6;151.6;2851;3050;2652;351.45;72;136.68;28;328.53;67.3;159.61;32.7;251.84;51.59;148.28;30.38;88.01;18.03;1;1
orange;;Sneakyb4stard;Steam;76561198000133635;23;Octane;491;413;0;1;2;3;7;2;1;0;372;50.81;3223;2221;1002;27;91;634;192;442;3;39;36.64;62.99;372;500;114;1523;718216;221.31;45.33;207.6;42.53;59.26;12.14;269.74;55.25;199.88;40.94;18.56;3.8;8.12;0.14;59;179;155.5;2966;2664;3295;334.95;68.61;153.22;31.39;297.37;60.91;190.81;39.09;217.23;44.5;157.26;32.21;113.69;23.29;0;1
orange;;joey.;Steam;76561198335771465;23;Octane;491;282;1;0;0;6;7;2;0;16.67;412;49.62;3334;2627;707;32;64;715;458;257;5;22;42.07;63.14;252;603;46;1603;758401;180.9;37.05;247.27;50.65;60.06;12.3;283.97;58.16;186.75;38.25;17.51;3.59;9.26;0.11;83;146.4;177.9;2985;2896;3065;309.56;63.4;178.67;36.6;283.04;57.97;205.19;42.03;189.88;38.89;177.57;36.37;120.77;24.74;1;1
orange;;Kuzon;Steam;76561198047156244;23;Octane;491;274;0;0;1;2;7;2;1;0;404;54.1;3313;2341;972;29;87;803;521;282;6;24;66.84;23.71;389;221;55;1480;701113;237.4;48.63;198.61;40.68;52.18;10.69;300.66;61.59;163.11;33.41;24.42;5;11.14;0.13;86;166.6;150.5;3018;2880;3188;352.84;72.27;135.36;27.73;304.34;62.34;183.86;37.66;201.95;41.37;176.61;36.18;109.64;22.46;1;1
