color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Dreams;Steam;76561198293691084;23;Octane;383;488;2;0;2;5;9;2;2;40;418;41.15;2566;1897;669;21;50;608;273;335;3;21;67.34;40.35;564;202;26;1663;597138;140.72;36.78;170.96;44.68;70.95;18.54;228.56;59.73;136.58;35.69;17.5;4.57;8.24;0.11;72;129.1;116.7;2873;2966;2797;299.9;78.38;82.74;21.62;227.24;59.39;155.4;40.61;173.1;45.24;113.82;29.75;95.72;25.02;0;0
blue;;bang;Steam;76561198304293574;23;Octane;383;352;0;1;2;5;9;2;0;0;549;45.68;3543;2609;934;30;80;954;717;237;8;20;58.42;24.41;785;391;82;1730;622178;116.45;30.43;181.4;47.4;84.85;22.17;206.14;53.86;162.24;42.39;14.32;3.74;8.89;0.09;101;126.5;116.9;3133;2890;3290;291.74;76.23;90.96;23.77;232.91;60.86;149.79;39.14;163.8;42.8;132.71;34.68;86.2;22.52;0;0
blue;;pA ReKo sAM;Steam;76561198334092442;23;Octane;383;200;1;0;0;3;9;2;0;33.33;330;49.7;2019;1452;567;19;49;365;203;162;3;14;39;58.25;254;463;98;1473;528696;198.68;51.94;147.01;38.43;36.84;9.63;218.04;57;144.6;37.8;19.89;5.2;2.68;0.16;17;113.8;130.8;2897;2656;2953;283.02;73.99;99.51;26.01;213.8;55.89;168.73;44.11;158.19;41.35;125.26;32.75;99.08;25.9;1;0
orange;;Kuzon;Steam;76561198047156244;23;Octane;383;518;1;1;4;4;13;3;1;25;389;46.9;2173;1360;813;16;75;406;286;120;3;10;66.49;16.86;285;183;13;1470;523850;187.69;49.43;154.65;40.73;37.4;9.85;227.56;59.93;134.8;35.5;17.38;4.58;6;0.11;53;119.5;117.8;2643;2366;2882;263.48;69.38;116.26;30.62;290.26;76.44;89.48;23.56;222.35;58.55;104.87;27.62;52.53;13.83;0;1
orange;;Sneakyb4stard;Steam;76561198000133635;23;Octane;383;417;1;1;1;3;13;3;0;33.33;303;46.66;1855;1166;689;13;62;621;434;187;5;17;40.66;43.15;278;164;65;1409;501732;198.02;52.11;146.79;38.63;35.21;9.27;207.85;54.69;153.4;40.37;18.77;4.94;6.29;0.18;35;133.4;124.9;2818;2715;2894;264.28;69.54;115.74;30.46;273.11;71.87;106.91;28.13;212.47;55.91;103.14;27.14;64.4;16.95;0;0
orange;;joey.;Steam;76561198335771465;23;Octane;383;291;0;0;3;2;13;3;2;0;370;45.85;2401;1772;629;21;54;487;283;204;3;18;68.9;26.15;87;291;16;1537;554412;163.25;42.65;175.06;45.73;44.5;11.62;220.72;57.66;139.42;36.42;22.68;5.92;6.05;0.11;56;117.2;124.9;3011;3065;2997;250.21;65.36;132.6;34.64;252.99;66.09;129.82;33.91;191.59;50.05;130.07;33.98;61.16;15.98;0;0
