color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Sneakyb4stard;Steam;76561198000133635;23;Octane;335;294;1;0;1;2;6;2;1;50;380;56.22;2030;1345;685;17;57;377;251;126;3;11;17.06;56.07;274;410;53;1545;489049;141.66;42.69;143.8;43.34;46.35;13.97;203.69;61.39;119.39;35.98;8.74;2.63;4.57;0.11;42;134.2;113.9;2974;2965;3010;233.39;70.34;98.42;29.66;203.73;61.4;128.08;38.6;143.69;43.3;109.73;33.07;78.39;23.62;0;1
blue;;*' TheJellyfish;Steam;76561198011304507;23;Octane;335;290;0;1;1;4;6;2;0;0;413;51.7;2147;1545;602;19;52;591;358;233;4;20;37.65;19.29;337;362;41;1583;506184;134.6;40.2;149.57;44.67;50.66;15.13;198.94;59.42;122.73;36.65;13.16;3.93;5.47;0.11;48;107.8;102.8;2865;2745;2947;231.87;69.25;102.96;30.75;192.69;57.55;142.14;42.45;137.3;41.01;111.72;33.37;85.8;25.63;2;0
blue;;Kuzon;Steam;76561198047156244;23;Octane;335;192;0;0;1;2;6;2;1;0;445;50.23;2376;1815;561;22;54;602;403;199;5;18;43.83;26.93;384;151;105;1596;504250;132.58;39.94;145.77;43.92;53.58;16.14;194.44;58.58;121.55;36.62;15.95;4.81;6.98;0.1;67;90.3;111;2613;2409;2749;224.24;67.55;107.7;32.45;195.27;58.83;136.66;41.17;133.83;40.32;113.45;34.18;84.65;25.5;1;1
orange;;Waterson123;PS4;Waterson123;23;Octane;335;483;1;0;3;3;8;1;1;33.33;326;47.84;1731;1229;502;14;45;561;380;181;4;16;50.78;32.58;121;181;11;1474;469708;161.54;48.34;127.54;38.16;45.11;13.5;166.91;49.94;148.51;44.44;18.78;5.62;5.9;0.12;48;106.5;116;2520;2571;2487;246.37;73.72;87.82;26.28;215.07;64.36;119.12;35.64;162.03;48.48;98.5;29.47;73.67;22.04;0;0
orange;;flow;Steam;76561198118968434;23;Octane;335;380;1;0;1;2;8;1;0;50;309;46.86;1802;1061;741;14;65;456;291;165;3;15;18.69;16;65;347;14;1405;438611;182.85;55.64;124.25;37.81;21.53;6.55;194.81;59.28;120.27;36.6;13.56;4.13;6.12;0.11;54;131.1;104.5;3105;3132;3042;244.97;74.54;83.67;25.46;228.66;69.58;99.97;30.42;181.25;55.15;87.19;26.53;60.19;18.32;1;2
orange;;SneaKy0;Steam;76561198296361292;403;Dominus;335;228;0;1;1;1;8;1;0;0;423;53.54;2292;1772;520;21;47;351;190;161;2;15;30.63;34.05;207;353;19;1451;458867;170.53;51.39;126.68;38.18;34.6;10.43;196.04;59.08;126.58;38.15;9.18;2.77;10.98;0.1;109;99.1;106.9;2890;2790;2971;245.23;73.91;86.58;26.09;217.03;65.41;114.77;34.59;162.91;49.1;110.31;33.25;58.58;17.66;1;1
