color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Kaczoland;Steam;76561198107997066;23;Octane;316;433;1;0;3;2;9;0;0;50;346;47.41;1793;961;832;13;76;710;392;318;5;28;18.7;27.31;101;361;118;1512;451947;141.38;45.98;124.94;40.63;41.18;13.39;164.44;53.47;126.49;41.13;16.58;5.39;8.81;0.1;89;87.5;122.5;2775;2717;2845;218.78;71.15;88.73;28.85;201.41;65.5;106.09;34.5;149.21;48.52;95.53;31.07;62.76;20.41;2;3
blue;;PadS;Steam;76561198876497010;23;Octane;316;392;0;0;3;1;9;0;0;0;339;50.5;1736;831;905;9;72;238;69;169;1;16;32.19;42.44;184;98;42;1390;426418;174.19;55.54;100.22;31.96;39.2;12.5;175.5;55.96;125.71;40.08;12.4;3.95;10.97;0.12;95;121;85.8;2906;2938;2933;243.87;77.76;69.75;22.24;224.95;71.73;88.66;28.27;174.2;55.55;93.35;29.77;46.06;14.69;2;1
blue;;FaithFazer;Steam;76561198107369423;23;Octane;316;248;0;1;2;0;9;0;0;0;374;53.03;2024;1550;474;18;36;204;144;60;2;5;47.75;28.71;94;263;55;1535;469827;129.1;41.16;153.12;48.82;31.4;10.01;166.4;53.06;132.21;42.15;15.02;4.79;6.25;0.09;72;117.6;108.7;3195;2849;3529;224.9;71.71;88.73;28.29;216.68;69.09;96.95;30.91;165.88;52.89;100.68;32.1;47.07;15.01;0;1
orange;;:);Steam;76561198876493853;4284;Fennec;316;194;0;0;0;5;3;1;0;0;464;54.99;2494;1902;592;25;55;1206;976;230;11;21;31.22;29.51;487;634;123;1666;498633;115.32;37.49;117.64;38.24;74.68;24.28;178.69;58.08;114.54;37.23;14.41;4.68;4.9;0.12;40;97.5;106.3;3080;2550;3604;212.48;69.07;95.15;30.93;162.08;52.68;145.56;47.32;111.86;36.36;104.03;33.82;91.75;29.82;2;3
orange;;Sneakyb4stard;Steam;76561198000133635;23;Octane;316;164;0;0;1;0;3;1;0;0;417;43.24;2168;1645;523;18;46;421;291;130;3;12;54.96;39.19;259;180;20;1599;493426;122.12;38.57;139.35;44.01;55.14;17.42;153.49;48.48;146.33;46.22;16.78;5.3;6.23;0.14;44;106.1;115;3015;2982;3031;214.01;67.6;102.59;32.4;185.05;58.45;131.55;41.55;115.31;36.42;127.63;40.31;73.66;23.27;1;0
orange;;Kuzon;Steam;76561198047156244;403;Dominus;316;112;0;0;0;4;3;1;1;0;456;56.98;2383;1802;581;20;53;407;284;123;3;11;47.08;16.88;207;145;15;1523;466971;136.2;43.42;145.54;46.4;31.95;10.19;203.19;64.78;104.88;33.44;5.61;1.79;6.71;0.13;53;123.3;97.9;2863;2731;2965;215.64;68.74;98.05;31.26;182.8;58.27;130.89;41.73;119.77;38.18;126.1;40.2;67.82;21.62;2;1
