color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;m4chinn;Steam;76561198431803882;23;Octane;368;524;2;1;0;6;3;2;0;33.33;483;46.46;2778;2206;572;25;43;521;390;131;6;11;46.69;30.06;429;124;34;1567;538533;159.9;43.8;158.57;43.43;46.61;12.77;227.52;62.32;118.48;32.45;19.08;5.23;8.14;0.12;67;114.4;124.7;2706;2428;2858;261.51;71.63;103.57;28.37;248.11;67.96;116.97;32.04;184.08;50.42;111.07;30.42;69.92;19.15;1;1
blue;;arkadiushenko;Steam;76561198065578820;23;Octane;368;421;1;1;1;4;3;2;1;25;334;41.35;1863;870;993;12;56;496;159;337;3;13;62.71;27.12;212;240;48;1428;493651;184.95;50.67;141.81;38.85;38.24;10.48;226.89;62.16;134.52;36.85;3.59;0.98;9.57;0.14;67;121;93;2465;2557;2361;289.28;79.25;75.73;20.75;262.14;71.82;102.86;28.18;206.2;56.49;101.92;27.92;56.88;15.58;3;1
blue;;Mckaster;Steam;76561198087518089;4320;Mudcat GXT;368;158;0;0;0;1;3;2;1;0;419;50.2;2763;1729;1034;25;64;1067;635;432;8;23;65.87;43.17;564;714;177;1739;607838;107.63;29.25;176.37;47.93;83.98;22.82;222.3;60.41;135.3;36.77;10.38;2.82;9.26;0.08;110;115.7;133.3;2898;2907;2846;260.39;70.76;107.59;29.24;239.39;65.06;128.58;34.94;192.38;52.28;99.2;26.96;76.4;20.76;0;0
orange;;Sneakyb4stard;Steam;76561198000133635;23;Octane;368;424;0;1;3;2;11;3;1;0;386;44.81;2411;1535;876;19;69;563;323;240;4;20;37.38;31.33;343;296;76;1545;529922;150.76;41.65;158.08;43.68;53.09;14.67;197.37;54.53;148.95;41.15;15.61;4.31;2.99;0.13;23;140.1;128.4;2871;2699;3042;254.74;70.38;107.19;29.62;226.84;62.68;135.09;37.32;167.08;46.16;112.81;31.17;82.04;22.67;1;2
orange;;*' TheJellyfish;Steam;76561198011304507;23;Octane;368;384;1;0;3;1;11;3;0;100;327;52.87;1854;1140;714;14;56;369;100;269;1;23;32.44;28.48;299;282;0;1452;498532;187.72;51.61;148.2;40.74;27.81;7.65;242.08;66.55;114.45;31.46;7.21;1.98;7.89;0.14;55;109;111.3;2818;2967;2676;248.05;68.2;115.68;31.8;212.43;58.4;151.3;41.6;146.28;40.22;132.36;36.39;85.1;23.4;0;1
orange;;Kuzon;Steam;76561198047156244;23;Octane;368;338;1;0;1;0;11;3;2;0;484;48.04;2764;1964;800;21;59;711;414;297;5;18;66.48;24.64;309;41;4;1551;531641;149.15;40.86;176.46;48.34;39.42;10.8;212.46;58.2;136.72;37.45;15.85;4.34;8.1;0.11;77;111.1;106.9;2621;2575;2661;255.86;70.09;109.17;29.91;234.71;64.3;130.32;35.7;161.75;44.31;130.11;35.64;73.16;20.04;1;1
