color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Berit beaver;Steam;76561197962661251;23;Octane;366;444;1;2;2;2;10;6;3;50;387;45.19;2273;1605;668;18;62;377;279;98;4;9;49.62;16.64;504;193;127;1685;556195;134.99;37.19;145.85;40.18;82.12;22.63;203.79;56.15;144.8;39.89;14.37;3.96;5.1;0.08;67;125.8;107.8;2979;2716;3239;270.76;74.6;92.2;25.4;246.66;67.96;116.3;32.04;194.31;53.53;107.06;29.5;61.6;16.97;0;1
blue;;Gib;Steam;76561198033583512;2269;Skyline GT-R;366;366;2;0;0;5;10;6;0;40;380;55.61;2336;2007;329;25;30;404;345;59;4;5;42.49;68.97;132;508;54;1626;535598;147.84;40.73;153.3;42.24;61.8;17.03;183.85;50.66;162.85;44.87;16.24;4.47;5.4;0.11;51;85.3;134.9;2948;2789;3042;249.83;68.84;113.11;31.16;223.56;61.6;139.38;38.4;165.41;45.57;112.32;30.95;85.22;23.48;0;1
blue;;OneM;Steam;76561198176043578;23;Octane;366;176;0;0;0;3;10;6;3;0;409;43.9;2493;1680;813;18;71;236;0;236;0;21;38.17;18.48;179;121;0;1533;504504;160.26;44.04;161.92;44.49;41.75;11.47;219.93;60.43;126.5;34.76;17.5;4.81;7.67;0.1;77;134.8;97.2;3259;3161;3202;258.32;70.98;105.6;29.02;243.98;67.04;119.94;32.96;199.5;54.82;93.22;25.61;71.21;19.57;0;0
orange;;Kuzon;Steam;76561198047156244;23;Octane;366;875;3;3;2;3;10;3;2;100;433;44.58;2487;1833;654;20;56;300;112;188;2;16;52.95;15.31;172;27;0;1544;514194;158.65;43.35;168.21;45.96;39.14;10.69;193.2;52.79;149.89;40.95;22.91;6.26;7.34;0.11;66;96.9;114.3;2842;2745;2935;257.13;70.25;108.87;29.75;240.77;65.78;125.23;34.22;172.33;47.08;121.68;33.25;71.99;19.67;1;0
orange;;Sneakyb4stard;Steam;76561198000133635;23;Octane;366;405;1;0;3;3;10;3;1;33.33;423;54.71;2492;1878;614;22;59;640;457;183;5;18;21.03;46.02;189;380;55;1575;522555;162.94;44.5;135.89;37.12;67.29;18.38;177.81;48.56;166.72;45.54;21.6;5.9;4.56;0.15;31;134;109.6;3251;2854;3587;261.85;71.52;104.27;28.48;239.03;65.29;127.09;34.71;181.46;49.56;107.88;29.46;76.79;20.97;1;0
orange;;Ithreen;Steam;76561198079681405;23;Octane;366;404;2;1;0;4;10;3;0;50;349;45.54;1909;1410;499;17;45;96;0;96;0;8;33.03;30.21;91;219;0;1597;529629;146.69;40.06;182.76;49.91;36.71;10.03;189.57;51.77;160.77;43.91;15.82;4.32;6.39;0.1;66;106.7;115.6;3176;3106;3217;253.85;69.33;112.31;30.67;246.61;67.35;119.54;32.65;169.17;46.2;133.68;36.51;63.31;17.29;0;0
