color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Una;Steam;76561198081728556;23;Octane;351;326;1;1;1;4;5;3;1;25;322;50.78;1862;1292;570;16;46;470;321;149;4;8;26.94;42.33;157;314;78;1423;462702;191.63;55.02;125.11;35.92;31.56;9.06;218.61;62.76;119.61;34.34;10.08;2.89;6.55;0.13;52;134.5;103.2;3192;3038;3354;252.68;72.55;95.62;27.45;244.11;70.09;104.19;29.91;182.9;52.51;107.74;30.93;57.66;16.55;0;1
blue;;washed up Repcaq;Steam;76561198963468903;4284;Fennec;351;312;1;1;0;1;5;3;2;100;319;47.96;2106;1472;634;18;48;545;404;141;6;12;37.48;29.34;188;336;195;1465;472941;174.2;50.44;138.66;40.15;32.53;9.42;203.04;58.79;128.05;37.08;14.28;4.13;12.62;0.11;110;97.8;103.8;2932;3116;2751;250.43;72.51;94.95;27.49;230.88;66.85;114.5;33.15;167.34;48.45;119.56;34.62;58.48;16.93;0;2
blue;;Pyrek;Steam;76561198021421926;3426;Diestro;351;182;0;0;1;1;5;3;0;0;345;56.42;2291;1616;675;21;62;751;548;203;6;18;27.96;33.29;66;504;54;1514;497321;160.67;45.72;148.92;42.38;41.8;11.9;179.13;50.98;143.62;40.87;28.63;8.15;6.85;0.1;72;107.9;133.6;3013;2753;3275;238.41;67.85;112.97;32.15;213.34;60.71;138.04;39.29;157.15;44.72;115.97;33;78.26;22.27;0;0
orange;;*' TheJellyfish;Steam;76561198011304507;23;Octane;351;386;1;1;1;2;6;2;1;50;371;57.06;2253;1708;545;21;51;571;415;156;5;14;28.68;57.15;206;438;86;1512;498224;171.14;48.71;135.75;38.63;44.49;12.66;199.56;56.79;120.51;34.3;31.31;8.91;4.09;0.11;38;106.2;107.3;2838;2585;3074;248.18;70.63;103.2;29.37;203.82;58.01;147.56;41.99;142.51;40.56;134.18;38.19;74.69;21.26;2;0
orange;;Sneakyb4stard;Steam;76561198000133635;23;Octane;351;364;2;0;0;3;6;2;0;66.67;344;44.63;2005;1413;592;16;51;652;483;169;6;14;33.62;32.67;190;201;116;1502;494257;165.68;47.15;149.46;42.53;36.27;10.32;181.57;51.67;159.69;45.44;10.16;2.89;5.35;0.15;35;118.2;100.9;3251;3082;3401;248.51;70.72;102.91;29.28;216.4;61.58;135.02;38.42;164.63;46.85;102.05;29.04;84.73;24.11;1;0
orange;;Kuzon;Steam;76561198047156244;23;Octane;351;314;0;2;2;0;6;2;1;0;414;57.75;2290;1607;683;20;64;604;443;161;6;14;40.61;24.73;264;73;0;1485;488404;180;51.22;128.34;36.52;43.08;12.26;214.06;60.91;119.31;33.95;18.04;5.13;7.8;0.13;59;113.9;127.8;3029;2656;3396;248.22;70.63;103.2;29.37;215.15;61.22;136.27;38.78;150.73;42.89;120.13;34.19;80.55;22.92;0;0
