color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Kuzon;Steam;76561198047156244;403;Dominus;324;239;0;0;2;2;6;2;0;0;464;52.72;2458;1780;678;19;64;932;700;232;7;22;50.86;14.45;188;20;0;1510;471785;149.91;46.22;131.2;40.45;43.23;13.33;192.97;59.5;116.27;35.85;15.1;4.66;5.15;0.11;46;67;120.8;3022;2731;3351;197.29;60.83;127.05;39.17;172.64;53.23;151.71;46.77;111.24;34.3;121.34;37.41;91.76;28.29;1;0
blue;;Sneakyb4stard;Steam;76561198000133635;23;Octane;324;215;0;0;1;0;6;2;2;0;396;47.44;2056;1437;619;16;52;363;164;199;2;14;44.34;30.24;301;185;51;1550;470225;134.38;42.61;133.02;42.18;48;15.22;172.6;54.72;131.9;41.82;10.91;3.46;4.79;0.15;32;149.1;85.4;2731;2563;2923;228.93;72.58;86.48;27.42;200.51;63.57;114.91;36.43;133.3;42.26;119.4;37.86;62.71;19.88;1;3
blue;;joey.;Steam;76561198335771465;23;Octane;324;138;0;0;0;3;6;2;0;0;433;49.09;2309;1790;519;23;46;842;641;201;8;18;48.6;33.72;251;428;158;1674;518164;107.03;33.32;166.92;51.96;47.31;14.73;180.43;56.16;123.89;38.56;16.93;5.27;5.91;0.11;54;113.2;110.5;2896;2833;2924;226.79;70.59;94.47;29.41;183.1;56.99;138.16;43.01;132.75;41.32;102.15;31.8;86.36;26.88;0;1
orange;;DaviMoon1;Steam;76561198872164827;23;Octane;324;368;1;1;2;3;5;0;0;33.33;376;53.02;2017;1214;803;15;66;481;287;194;3;17;18.58;44.58;352;321;13;1494;469179;158.46;48.86;115.71;35.68;50.17;15.47;184.16;56.78;123.07;37.94;17.11;5.28;6.18;0.14;43;124.1;79.4;2996;2877;3111;260.4;80.29;63.94;19.71;237.62;73.26;86.72;26.74;182.8;56.36;94.36;29.09;47.19;14.55;1;0
orange;;Adrisfera;Steam;76561198871443522;23;Octane;324;254;1;0;0;2;5;0;0;50;423;51.99;2315;1807;508;22;45;514;333;181;4;17;19.5;48.56;434;398;66;1592;498381;136.81;42.18;127.27;39.24;60.26;18.58;190.69;58.79;127.87;39.42;5.78;1.78;7.66;0.12;64;100.8;107.7;3013;2741;3291;236.24;72.84;88.1;27.16;214.75;66.21;109.59;33.79;162.65;50.15;96.4;29.72;65.29;20.13;2;0
orange;;Juanluu JR;Steam;76561198322585010;4284;Fennec;324;124;0;0;1;1;5;0;0;0;396;51.02;2295;1425;870;18;78;579;378;201;5;18;27.75;31.42;257;428;127;1556;475538;146.2;45.94;118.4;37.21;53.63;16.85;163.82;51.48;142.91;44.91;11.5;3.61;11.18;0.15;74;95.2;129.1;2950;2897;3039;210.49;66.14;107.75;33.86;202.47;63.62;115.76;36.38;151;47.45;98.76;31.03;68.48;21.52;1;2
