color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Kuzon;Steam;76561198047156244;23;Octane;333;282;1;0;1;2;6;2;1;50;469;55.16;2529;1962;567;21;52;196;64;132;1;11;55.17;17.3;179;36;0;1456;464447;166.06;49.75;137.39;41.16;30.32;9.08;188.57;56.5;120.28;36.04;24.92;7.47;7.97;0.12;69;128.1;95.9;2903;2771;3052;250.31;74.99;83.46;25.01;202.41;60.64;131.36;39.36;131.79;39.49;136.44;40.88;65.54;19.64;2;0
blue;;Sneakyb4stard;Steam;76561198000133635;23;Octane;333;270;0;0;1;4;6;2;0;0;433;54.07;2443;1741;702;24;62;678;389;289;5;26;27.6;42.04;406;656;130;1605;503874;132.4;40.26;133.49;40.59;62.97;19.15;167.06;50.8;140.42;42.7;21.39;6.5;6.58;0.15;44;110.2;94.3;3085;2944;3256;258.31;78.55;70.55;21.45;185.46;56.39;143.4;43.61;123.38;37.52;129.37;39.34;76.11;23.14;0;1
blue;;Ithreen;Steam;76561198079681405;23;Octane;333;205;0;0;1;3;6;2;1;0;419;53.2;2370;1745;625;20;56;714;520;194;6;18;33.08;23.2;138;280;80;1574;500344;125.46;37.6;171.85;51.5;36.38;10.9;184.96;55.43;138.31;41.45;10.43;3.13;6.58;0.11;59;87.4;136.4;3306;3057;3545;218.27;65.41;115.43;34.59;181.06;54.26;152.63;45.74;114.61;34.35;124.93;37.44;94.15;28.21;0;0
orange;;antorg14;PS4;antorg14;23;Octane;333;436;1;0;3;1;9;1;1;100;304;45.94;1705;1155;550;14;47;347;275;72;3;6;49.79;48.1;70;254;24;1410;444112;173.83;52.56;126.53;38.26;30.37;9.18;187.3;56.63;128.29;38.79;15.13;4.57;6.15;0.13;46;126.6;103.8;2943;2896;2946;255.36;77.21;75.36;22.79;246.18;74.44;84.54;25.56;189.14;57.19;105.5;31.9;36.08;10.91;0;1
orange;;caesar.;Steam;76561198213170203;23;Octane;333;406;1;0;2;3;9;1;0;33.33;335;51.07;1871;1316;555;15;50;267;183;84;2;7;28.95;43.54;103;225;16;1464;461155;158.2;47.84;133.83;40.47;38.63;11.68;176.58;53.4;137.63;41.62;16.46;4.98;5.95;0.12;49;110.2;100.3;3178;2929;3462;239.11;72.31;91.56;27.69;240.55;72.75;90.11;27.25;184.33;55.75;105.59;31.93;40.74;12.32;0;1
orange;;felmo_;PS4;felmo_;4284;Fennec;333;309;0;1;2;2;9;1;0;0;370;55.2;2158;1671;487;21;46;453;383;70;5;6;23.16;37.26;356;449;116;1591;505954;135.2;40.5;145.58;43.61;53.02;15.88;209.44;62.74;109.52;32.81;14.84;4.45;4.12;0.09;45;94.1;122.3;2847;2564;3160;235.08;70.42;98.73;29.58;249.84;74.85;83.96;25.15;194.2;58.18;83.73;25.08;55.87;16.74;1;0
