color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;MachtFISCH;Steam;76561198023809135;3451;Nimbus;841;906;2;0;4;6;15;2;2;33.33;405;52.07;5757;4395;1362;56;120;1287;916;371;12;35;73.1;81.06;925;1222;289;1541;1247969;364.34;43.65;320.86;38.44;149.55;17.92;510.74;61.18;283.36;33.95;40.66;4.87;19.27;0.15;126;328.5;250.6;3161;3017;3295;620.48;74.33;214.28;25.67;551.96;66.12;282.79;33.88;414.99;49.71;246.26;29.5;173.5;20.78;3;2
blue;;Cheri;Steam;76561198079383115;4770;;841;788;1;2;3;6;15;2;0;16.67;382;51.84;5413;3493;1920;43;149;1175;667;508;8;36;79.9;97.14;635;759;132;1526;1244716;376.12;44.9;355.5;42.44;105.98;12.65;516.77;61.7;288.84;34.48;32;3.82;24.55;0.14;171;288.9;271.8;3324;3165;3454;630.89;75.32;206.72;24.68;570.26;68.08;267.35;31.92;408.49;48.77;290.97;34.74;138.15;16.49;2;1
blue;;Nickoe;Steam;76561198351040140;23;Octane;841;587;0;0;3;8;15;2;0;0;372;49.72;5139;3460;1679;38;141;1330;798;532;9;47;118.11;101.28;608;279;18;1453;1177585;429.71;51.47;319.99;38.33;85.19;10.2;485.03;58.1;319.79;38.3;30.07;3.6;14.78;0.12;119;231.2;315.1;3137;3219;3062;596.53;71.45;238.36;28.55;488.25;58.48;346.65;41.52;347.55;41.63;289.21;34.64;198.13;23.73;1;2
orange;;joey.;Steam;76561198335771465;23;Octane;841;901;2;0;5;2;20;3;2;100;417;51.43;5800;4521;1279;53;117;782;485;297;6;27;75.88;100.8;800;857;121;1602;1296965;331.41;39.84;364.34;43.8;136.04;16.36;504.73;60.68;281.9;33.89;45.16;5.43;16.36;0.11;148;288.2;275.5;3117;2889;3369;593.59;71.36;238.2;28.64;552.31;66.4;279.47;33.6;404.35;48.61;279.58;33.61;147.85;17.78;1;3
orange;;Kuzon;Steam;76561198047156244;23;Octane;841;768;0;1;5;10;20;3;0;0;413;51.28;5634;3784;1850;43;172;1224;708;516;9;47;154.57;45.32;781;213;22;1525;1239867;371.57;44.34;361.43;43.13;104.99;12.53;504.54;60.21;299.4;35.73;34.05;4.06;16;0.12;136;259.4;316.5;2679;2662;2699;562.47;67.12;275.52;32.88;527.77;62.98;310.22;37.02;385.06;45.95;249.03;29.72;203.9;24.33;3;1
orange;;Sneakyb4stard;Steam;76561198000133635;23;Octane;841;714;0;1;5;3;20;3;1;0;350;53.68;4929;3420;1509;43;136;925;524;401;8;35;89.19;87.93;485;923;255;1492;1214097;389.54;46.64;343.38;41.12;102.22;12.24;456.6;54.67;329.36;39.44;49.17;5.89;12.98;0.15;88;298.1;245.3;3061;2879;3255;599.05;71.73;236.08;28.27;551.04;65.98;284.09;34.02;407.05;48.74;262.24;31.4;165.85;19.86;1;2
