color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Sneakyb4stard;Steam;76561198000133635;23;Octane;357;334;1;0;1;2;5;2;0;50;390;54.38;2323;1616;707;22;63;800;526;274;6;25;27.51;43.34;323;630;101;1608;549356;143.19;40.1;155.76;43.62;58.13;16.28;184.51;51.67;161.52;45.23;11.06;3.1;4.28;0.12;36;96.1;128.7;2797;2640;2982;229.36;64.23;127.72;35.77;188.3;52.73;168.78;47.27;132.38;37.07;111.7;31.28;112.99;31.64;0;0
blue;;Kuzon;Steam;76561198047156244;23;Octane;357;225;0;0;1;1;5;2;2;0;500;48.71;2934;2156;778;24;66;617;370;247;4;21;67.38;19.01;461;48;0;1597;545608;137.44;38.5;162.85;45.62;56.71;15.89;201.15;56.35;136.73;38.3;19.11;5.35;8.82;0.11;78;137;111.6;3082;3010;3185;261.53;73.26;95.47;26.74;203.07;56.88;153.93;43.12;134.21;37.59;135.54;37.97;87.24;24.44;2;0
blue;;*' TheJellyfish;Steam;76561198011304507;23;Octane;357;206;0;1;1;3;5;2;0;0;349;40.8;1970;1349;621;15;55;378;149;229;2;20;58.78;24.88;225;150;50;1538;525319;166.17;46.54;144.38;40.44;46.49;13.02;213.59;59.82;133.6;37.42;9.85;2.76;5.96;0.11;56;116.8;111.6;2981;3079;2857;257.15;72.02;99.89;27.98;190.67;53.4;166.37;46.6;132.47;37.1;134.75;37.74;89.82;25.16;0;0
orange;;SteLu @Speedlink;Steam;76561198131583531;23;Octane;357;334;1;1;1;2;6;1;0;50;384;49.95;2258;1727;531;19;41;549;397;152;4;13;58.23;51.52;358;206;2;1585;535209;141.15;39.88;163.23;46.11;49.6;14.01;206.38;58.3;125.78;35.53;21.82;6.16;9.36;0.12;80;92.3;156.9;3147;2892;3386;212.07;59.91;141.91;40.09;239.2;67.58;114.77;32.42;170.87;48.27;120.8;34.13;62.3;17.6;0;1
orange;;Jonii;Steam;76561198186289113;23;Octane;357;298;1;0;1;2;6;1;0;50;394;49.45;2394;1933;461;22;41;256;200;56;2;5;55.46;46.61;145;274;0;1515;513472;167.1;47.21;142.29;40.2;44.58;12.59;207.11;58.51;131.86;37.25;15.01;4.24;8.55;0.11;80;125.3;80.6;2728;2652;2772;245.96;69.49;108.01;30.51;260.52;73.6;93.46;26.4;202.15;57.11;98.48;27.82;53.34;15.07;0;1
orange;;RoCCo @Speedlink;Steam;76561198177858147;4284;Fennec;357;286;0;0;1;1;6;1;1;0;336;47.15;1981;1196;785;14;70;269;127;142;2;13;51.84;34.9;158;235;72;1455;495869;179.58;50.31;145.02;40.63;32.36;9.07;197.93;55.45;152.76;42.79;6.27;1.76;6.84;0.14;48;135.2;117.3;2890;2999;2794;238.99;66.95;117.97;33.05;262.94;73.66;94.02;26.34;200.43;56.15;103.94;29.12;52.59;14.73;0;0
