color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Sneakyb4stard;Steam;76561198000133635;23;Octane;318;426;0;0;5;3;12;0;0;0;334;58.33;1786;1277;509;16;50;351;184;167;2;17;10.96;55.16;240;382;33;1537;472371;141.36;44.86;126.22;40.06;47.53;15.08;176.97;56.16;110.95;35.21;27.19;8.63;3.63;0.13;27;125.5;107.6;2903;2950;2730;221.03;70.14;94.09;29.86;202.42;64.24;112.7;35.76;152.28;48.32;99.9;31.7;62.94;19.97;1;1
blue;;*' TheJellyfish;Steam;76561198011304507;23;Octane;318;264;1;0;0;1;12;0;0;100;338;55.44;1786;1206;580;15;53;271;100;171;1;16;44.11;44.12;242;336;18;1484;460109;154.21;48.46;138.94;43.66;25.06;7.88;198.18;62.28;102.4;32.18;17.64;5.54;5.67;0.12;48;95.2;101.5;3038;3018;3011;219.15;68.87;99.06;31.13;210.79;66.24;107.42;33.76;151.98;47.76;106.08;33.34;60.15;18.9;0;0
blue;;Kuzon;Steam;76561198047156244;23;Octane;318;228;0;0;2;1;12;0;0;0;457;52.05;2341;1800;541;20;51;692;537;155;6;14;49.68;28.81;294;79;23;1541;467745;130.2;41.72;137.86;44.18;43.99;14.1;182.93;58.62;115.78;37.1;13.34;4.27;7.24;0.11;63;101.9;108.8;2667;2640;2776;220.56;70.68;91.49;29.32;206.33;66.12;105.73;33.88;153.86;49.31;90.77;29.09;67.42;21.61;1;2
orange;;LS SpinKy;Steam;76561198851569154;4284;Fennec;318;291;0;0;2;2;5;1;0;0;343;59.55;1764;1418;346;18;33;400;301;99;4;9;44.79;26.33;140;322;7;1502;463899;144.49;45.4;129.36;40.65;44.4;13.95;161.01;50.59;148.51;46.66;8.73;2.74;6.09;0.13;46;114.8;106.8;2825;2630;2994;229.61;72.15;88.64;27.85;195.21;61.34;123.05;38.66;138.98;43.67;111.45;35.02;67.82;21.31;3;0
orange;;mustasjz;Steam;76561198075085780;23;Octane;318;262;0;0;1;7;5;1;0;0;397;54.91;1969;1518;451;17;34;624;481;143;5;12;54.21;37.93;171;209;18;1488;454100;138.16;44.27;143.53;45.99;30.41;9.74;151.82;48.64;130.94;41.95;29.34;9.4;6.86;0.1;71;112.9;92.3;2457;1880;2901;218.79;70.1;93.32;29.9;198.34;63.55;113.76;36.45;145.72;46.69;90.3;28.93;76.08;24.38;0;2
orange;;Glock911;Steam;76561198036254768;23;Octane;318;181;0;0;1;3;5;1;1;0;343;47.16;1857;1176;681;14;59;559;369;190;4;17;36.76;29.03;185;230;38;1475;457819;164.66;51.75;107.48;33.78;46.07;14.48;178.2;56;118.57;37.26;21.45;6.74;5.04;0.13;38;97.6;119.6;3091;3153;2970;207.51;65.21;110.71;34.79;184.86;58.09;133.35;41.91;135.69;42.64;95.76;30.09;86.77;27.27;0;0
